strategy_id,entry_bar,entry_ts_ms,entry_time,entry_price,exit_bar,exit_ts_ms,exit_time,exit_price,exit_reason,stop_loss,take_profit,fees_paid,return_pct,capital_before,capital_after
bot01_mean_reversion,2255,1756813800000,2025-09-02 11:50:00+00:00,109778.20167,2258,1756814700000,2025-09-02 12:05:00+00:00,109503.07823695034,stop_loss,109557.8571655331,110054.30566893377,0.39929926614676603,-0.35036692661701957,800.0,999.0999668806191
bot01_mean_reversion,2682,1756942500000,2025-09-03 23:35:00+00:00,111684.47433,2690,1756944900000,2025-09-04 00:15:00+00:00,111824.84201796482,take_profit,111502.5987954153,111880.7824091694,0.3996910541125254,0.025556681999078748,799.2799735044953,998.9511631801604
bot01_mean_reversion,2716,1756952700000,2025-09-04 02:25:00+00:00,111475.099695,2726,1756955700000,2025-09-04 03:15:00+00:00,111636.843655,signal,111237.51762676335,111783.13474647328,0.399670269295193,0.044949155894109125,799.1609305441283,998.84108716663
bot01_mean_reversion,5431,1757771400000,2025-09-13 13:50:00+00:00,115792.03708499999,5433,1757772000000,2025-09-13 14:00:00+00:00,115604.64884335274,stop_loss,115662.48008339443,115877.54983321112,0.39901370160146343,-0.26166988518232737,799.0728697333041,998.1191084172733
bot01_mean_reversion,6257,1758020400000,2025-09-16 11:00:00+00:00,115331.63699999999,6263,1758022200000,2025-09-16 11:30:00+00:00,115377.812235,signal,115160.71483382813,115500.57033234373,0.39912786285136886,-0.06000311712820365,798.4952867338186,997.7998238605649
bot01_mean_reversion,7552,1758411000000,2025-09-20 23:30:00+00:00,115709.98608,7560,1758413400000,2025-09-21 00:10:00+00:00,115662.48982500001,signal,115612.71957925752,115731.04084148497,0.39883853677535097,-0.1410066238467829,798.2398590884519,997.3191525196867
bot01_mean_reversion,7756,1758472500000,2025-09-21 16:35:00+00:00,115392.64748999999,7758,1758473100000,2025-09-21 16:45:00+00:00,115219.8999423492,stop_loss,115277.53871170506,115449.86257658988,0.3984298902104559,-0.24955441603684284,797.8553220157494,996.6224156625614
bot01_mean_reversion,7916,1758520500000,2025-09-22 05:55:00+00:00,113744.24369999999,7917,1758520800000,2025-09-22 06:00:00+00:00,113432.29787111726,stop_loss,113489.04239231341,114084.11521537318,0.3979035371119264,-0.37397771783140527,797.2979325300491,995.6784074554838
bot01_mean_reversion,8342,1758648900000,2025-09-23 17:35:00+00:00,112172.34814499998,8346,1758650100000,2025-09-23 17:55:00+00:00,111845.29145165275,stop_loss,111901.24207268909,112546.3858546218,0.3974921955020072,-0.39127466978896774,796.542725964387,994.7008834612866
bot01_mean_reversion,9641,1759040700000,2025-09-28 06:25:00+00:00,109338.65200499998,9643,1759041300000,2025-09-28 06:35:00+00:00,109293.05387791555,take_profit,109252.15112910677,109347.72774178644,0.3975985310065754,-0.14166187173705708,795.7607067690293,994.220402729033
bot01_mean_reversion,12112,1759785600000,2025-10-06 21:20:00+00:00,124833.42551999999,12119,1759787700000,2025-10-06 21:55:00+00:00,125049.40402000002,signal,124525.17305326436,125262.77389347125,0.3978329998029575,0.07284034352279091,795.3763221832264,994.1662525211202
bot01_mean_reversion,12220,1759818300000,2025-10-07 06:25:00+00:00,123951.50477999999,12230,1759821300000,2025-10-07 07:15:00+00:00,123636.4965706223,stop_loss,123698.34574349404,124271.98851301191,0.3969628616871267,-0.3538841313196206,795.3330020168962,993.2644835886159
bot01_mean_reversion,13376,1760166900000,2025-10-11 07:15:00+00:00,111127.47597,13380,1760168100000,2025-10-11 07:35:00+00:00,110565.27324838571,stop_loss,110620.58354015579,111974.65291968844,0.3961031447670421,-0.6054020295073543,794.6115868708928,991.8643846721624
bot01_mean_reversion,13520,1760210100000,2025-10-11 19:15:00+00:00,111306.6255,13521,1760210400000,2025-10-11 19:20:00+00:00,110942.32865378799,stop_loss,110997.82756757177,111757.34486485644,0.39589877317992056,-0.4269639590015129,793.4915077377299,990.8198780869725
bot01_mean_reversion,13577,1760227500000,2025-10-12 00:05:00+00:00,110358.16150499998,13581,1760228700000,2025-10-12 00:25:00+00:00,109967.57815838975,stop_loss,110022.5894531163,110863.85109376737,0.3954291399470836,-0.45356946685445426,792.655902469578,989.7238016349374
bot01_mean_reversion,13994,1760353200000,2025-10-13 11:00:00+00:00,114515.819295,13995,1760353500000,2025-10-13 11:05:00+00:00,114149.90250045813,stop_loss,114207.00600345986,114961.75799308027,0.39505970790083733,-0.4192143059341227,791.7790413079499,988.6968739342258
bot01_mean_reversion,14836,1760607000000,2025-10-16 09:30:00+00:00,109819.88249999999,14838,1760607600000,2025-10-16 09:40:00+00:00,110363.48054956312,take_profit,109438.15505274481,110418.68989451036,0.39625882264299805,0.39449556778896705,790.9574991473806,989.2784275556774
bot01_mean_reversion,14891,1760623500000,2025-10-16 14:05:00+00:00,110480.22250499998,14893,1760624100000,2025-10-16 14:15:00+00:00,109973.54028208899,stop_loss,110028.55455936867,111217.92088126265,0.39460702088625055,-0.5581594146094171,791.4227420445419,987.9773260842819
bot01_mean_reversion,15078,1760679900000,2025-10-17 05:45:00+00:00,108561.72373499999,15079,1760680200000,2025-10-17 05:50:00+00:00,108250.02079474996,stop_loss,108304.17288119055,108914.0642376189,0.39442656526105396,-0.3868333576481263,790.3818608674255,987.0161298115789
bot01_mean_reversion,15591,1760834700000,2025-10-19 00:45:00+00:00,106818.972795,15604,1760838600000,2025-10-19 01:50:00+00:00,106926.51000000001,signal,106617.78313744474,107061.20372511049,0.39480758049907794,0.0005717102346459589,789.6129038492631,986.8198540314885
bot01_mean_reversion,16573,1761130800000,2025-10-22 11:00:00+00:00,107210.58850499999,16575,1761131400000,2025-10-22 11:10:00+00:00,107695.77576168001,take_profit,106860.68970651325,107749.65058697348,0.395422865674281,0.35210279710453385,789.4558832251907,987.316719198306
bot01_mean_reversion,16872,1761220800000,2025-10-23 12:00:00+00:00,108776.431035,16883,1761224100000,2025-10-23 12:55:00+00:00,109118.38351500001,signal,108451.40170819346,109263.4065836131,0.39534935460095566,0.214048295452978,789.8533753586448,987.541500109178
bot01_mean_reversion,17844,1761513900000,2025-10-26 21:25:00+00:00,113125.5345,17846,1761514500000,2025-10-26 21:35:00+00:00,113310.75534224798,take_profit,112919.78046911057,113367.43906177886,0.39514214940864834,0.0635666273079403,790.0332000873424,987.4694156247683
bot01_mean_reversion,18784,1761797400000,2025-10-30 04:10:00+00:00,110067.65632499999,18786,1761798000000,2025-10-30 04:20:00+00:00,109693.53405171564,stop_loss,109748.40825584356,110541.13348831287,0.3941196578000835,-0.43956219609827635,789.9755324998147,986.4046814002694
bot01_mean_reversion,19471,1762004400000,2025-11-01 13:40:00+00:00,109837.90150499999,19473,1762005000000,2025-11-01 13:50:00+00:00,109915.11198074104,take_profit,109689.46648537216,109970.09702925566,0.39450313144097077,-0.029775365144056952,789.1237451202155,986.1487180859715
bot01_mean_reversion,19863,1762122600000,2025-11-02 22:30:00+00:00,109588.76699999999,19867,1762123800000,2025-11-02 22:50:00+00:00,109735.71428672854,take_profit,109405.69520423784,109790.6095915243,0.39452645786553275,0.03395564478046636,788.9189744687772,986.0183920028672
bot01_mean_reversion,20065,1762183500000,2025-11-03 15:25:00+00:00,106041.92446499999,20072,1762185600000,2025-11-03 16:00:00+00:00,105434.98019247403,stop_loss,105487.72405450128,106991.34189099743,0.3930825618225468,-0.6717901964836197,788.8147136022938,984.4977181408451
bot01_mean_reversion,20230,1762233300000,2025-11-04 05:15:00+00:00,106226.44668,20231,1762233600000,2025-11-04 05:20:00+00:00,105826.58795693304,stop_loss,105879.52772079343,106761.02455841315,0.39286175752281116,-0.4760446450282064,787.5981745126761,983.3644261934236
bot01_mean_reversion,20892,1762432800000,2025-11-06 12:40:00+00:00,102496.14245999999,20898,1762434600000,2025-11-06 13:10:00+00:00,102851.338605,signal,102173.23371102032,102988.29257795936,0.39382997778466466,0.24619932061685448,786.6915409547389,983.6514764081728
bot01_mean_reversion,21453,1762602000000,2025-11-08 11:40:00+00:00,102082.25562,21454,1762602300000,2025-11-08 11:45:00+00:00,101810.749313697,stop_loss,101861.68015377388,102370.35969245224,0.39274114354342143,-0.36570220098422,786.9211811265383,982.7360185400634
bot01_mean_reversion,21454,1762602300000,2025-11-08 11:45:00+00:00,102018.333675,21455,1762602600000,2025-11-08 11:50:00+00:00,101733.0317523615,stop_loss,101783.9237142186,102334.2025715628,0.3923487508729071,-0.3793778436176484,786.1888148320506,981.7945604497802
bot01_mean_reversion,21603,1762647300000,2025-11-09 00:15:00+00:00,101727.69842999999,21607,1762648500000,2025-11-09 00:35:00+00:00,101944.42190092354,take_profit,101517.58019463555,101995.4196107289,0.3929393753360342,0.11282969220187025,785.4356483598242,981.8195311426562
bot01_mean_reversion,22326,1762865100000,2025-11-11 12:45:00+00:00,104497.62269999999,22334,1762867500000,2025-11-11 13:25:00+00:00,104158.95197336336,stop_loss,104211.05750211442,104914.08499577116,0.39189568093828697,-0.4237700984655966,785.4556249141249,980.7918678491708
bot01_mean_reversion,22907,1763040300000,2025-11-13 13:25:00+00:00,102604.27649999999,22908,1763040600000,2025-11-13 13:30:00+00:00,102259.82700519024,stop_loss,102310.98249643845,103037.0350071231,0.39146273035776835,-0.4353710557229582,784.6334942793367,979.7425467104829
bot01_mean_reversion,24832,1763620800000,2025-11-20 06:40:00+00:00,91891.00254,24845,1763624700000,2025-11-20 07:45:00+00:00,92301.76071727746,take_profit,91593.65265769012,92347.93468461976,0.39257609561654283,0.34655886621930276,783.7940373683863,980.224996056558
bot01_mean_reversion,24921,1763647500000,2025-11-20 14:05:00+00:00,90673.04386499999,24926,1763649000000,2025-11-20 14:30:00+00:00,91500.12889097794,take_profit,90168.64407905056,91545.90184189889,0.3936804131084253,0.8112498111149489,784.1799968452464,981.6177753284629
bot01_mean_reversion,26010,1763976000000,2025-11-24 09:20:00+00:00,86087.732355,26024,1763980200000,2025-11-24 10:30:00+00:00,85695.41235879362,stop_loss,85738.28149954339,86657.56700091324,0.39155699331893734,-0.5552654199253106,785.2942202627703,980.3324250777619
bot01_mean_reversion,27138,1764315900000,2025-11-28 07:45:00+00:00,90995.485005,27147,1764318900000,2025-11-28 08:35:00+00:00,91211.84187899492,take_profit,90796.27969284896,91257.47061430207,0.39240261798740483,0.1375288368528012,784.2659400622094,980.40573690109
bot01_mean_reversion,27655,1764471900000,2025-11-30 03:05:00+00:00,90688.32149999999,27657,1764472500000,2025-11-30 03:15:00+00:00,90494.799341928,stop_loss,90540.0693766163,90848.8612467674,0.3915482093968078,-0.3131791974051609,784.324589520872,979.5961844754452
bot01_mean_reversion,27872,1764537300000,2025-11-30 21:15:00+00:00,91105.54000499999,27873,1764537600000,2025-11-30 21:20:00+00:00,90874.65990212532,stop_loss,90920.11996210637,91339.79007578724,0.39114655156912403,-0.35316706619502125,783.6769475803561,978.7090349397171
bot01_mean_reversion,27873,1764537600000,2025-11-30 21:20:00+00:00,90997.666095,27881,1764540000000,2025-11-30 22:00:00+00:00,91205.9064471244,take_profit,90802.51889338449,91251.53221323101,0.3917353625630735,0.12861257953044264,782.9672279517737,978.7647899713287
bot01_mean_reversion,28290,1764663300000,2025-12-02 08:15:00+00:00,86593.09491,28293,1764664200000,2025-12-02 08:30:00+00:00,86341.4793239917,stop_loss,86384.67165982162,86880.11668035679,0.3907419278751304,-0.39028177210149106,783.0118319770629,977.8058128880466
bot01_mean_reversion,28902,1764847800000,2025-12-04 11:30:00+00:00,92807.47054499999,28915,1764851700000,2025-12-04 12:35:00+00:00,92957.827835,signal,92565.39412608097,93152.48174783807,0.39124327560765965,0.061847889860533835,782.2446503104372,977.7310812274575
bot01_mean_reversion,28993,1764875400000,2025-12-04 19:10:00+00:00,91330.712535,28995,1764876000000,2025-12-04 19:20:00+00:00,90841.26469649155,stop_loss,90886.7080505168,92081.79389896643,0.3898499880239399,-0.6353712646034132,782.184864981966,976.2943329886359
bot01_mean_reversion,29612,1765062000000,2025-12-06 23:00:00+00:00,89153.324385,29616,1765063200000,2025-12-06 23:20:00+00:00,88924.1099706394,stop_loss,88968.59426777328,89389.12146445346,0.3898209631298343,-0.3568442641099799,781.0354663909087,975.4030008264837
bot01_mean_reversion,31068,1765500900000,2025-12-12 00:55:00+00:00,91624.22922,31075,1765503000000,2025-12-12 01:30:00+00:00,92218.58764000001,signal,91223.13811899486,92289.04376201029,0.3912303251756002,0.548042626535313,780.322400661187,976.2759759464801
bot01_mean_reversion,31363,1765590000000,2025-12-13 01:40:00+00:00,90191.6733,31368,1765591500000,2025-12-13 02:05:00+00:00,90249.36575132297,take_profit,90072.64349608657,90294.51300782688,0.39043990818828694,-0.036097472457412655,781.0207807571841,976.010309043176
